Social Media,Year,Rank,To-date Users,Total Instagram users (MM)
Facebook,2011,1,2853,678
Facebook,2012,1,2853,1113
Facebook,2013,1,2853,1237
Facebook,2014,1,2853,1564
Facebook,2015,1,2853,2002
Facebook,2016,1,2853,2159
Facebook,2017,1,2853,2263
Facebook,2018,1,2853,2407
Facebook,2019,1,2853,2528
Facebook,2020,1,2853,2708
Facebook,2021,1,2853,2853
Instagram,2011,3,1384,9
Instagram,2012,3,1384,20
Instagram,2013,3,1384,77
Instagram,2014,3,1384,283
Instagram,2015,3,1384,393
Instagram,2016,3,1384,585
Instagram,2017,3,1384,783
Instagram,2018,3,1384,886
Instagram,2019,3,1384,1023
Instagram,2020,3,1384,1228
Instagram,2021,3,1384,1384
LinkedIn,2011,5,740,91
LinkedIn,2012,5,740,121
LinkedIn,2013,5,740,146
LinkedIn,2014,5,740,163
LinkedIn,2015,5,740,180
LinkedIn,2016,5,740,198
LinkedIn,2017,5,740,246
LinkedIn,2018,5,740,320
LinkedIn,2019,5,740,480
LinkedIn,2020,5,740,618
LinkedIn,2021,5,740,740
TikTok,2011,6,689,0
TikTok,2012,6,689,0
TikTok,2013,6,689,0
TikTok,2014,6,689,12
TikTok,2015,6,689,56
TikTok,2016,6,689,119
TikTok,2017,6,689,156
TikTok,2018,6,689,524
TikTok,2019,6,689,576
TikTok,2020,6,689,623
TikTok,2021,6,689,689
Whatsapp,2011,4,1209,9
Whatsapp,2012,4,1209,47
Whatsapp,2013,4,1209,66
Whatsapp,2014,4,1209,284
Whatsapp,2015,4,1209,394
Whatsapp,2016,4,1209,587
Whatsapp,2017,4,1209,786
Whatsapp,2018,4,1209,1027
Whatsapp,2019,4,1209,1086
Whatsapp,2020,4,1209,1134
Whatsapp,2021,4,1209,1209
Youtube,2011,2,2295,662
Youtube,2012,2,2295,721
Youtube,2013,2,2295,865
Youtube,2014,2,2295,986
Youtube,2015,2,2295,1109
Youtube,2016,2,2295,1255
Youtube,2017,2,2295,1409
Youtube,2018,2,2295,1688
Youtube,2019,2,2295,1797
Youtube,2020,2,2295,1982
Youtube,2021,2,2295,2295
