Hashtag,Count
#LOVE,2000000000
#INSTAGOOD,1276000000
#FASHION,908000000
#PHOTOOFTHEDAY,879000000
#ART,746000000
#BEAUTIFUL,714000000
#PHOTOGRAPHY,693000000
#PICOFTHEDAY,623000000
#FOLLOW,617000000
#HAPPY,615000000
#CUTE,606000000
#NATURE,592000000
#INSTAGRAM,586000000
#TBT,559000000
#FOLLOWME,557000000
#TRAVEL,539000000
#LIKE4LIKE,528000000
#STYLE,524000000
#REPOST,509000000
#INSTADAILY,491000000
#SUMMER,486000000
#SELFIE,440000000
#ME,438000000
#FITNESS,429000000
#BEAUTY,426000000
#FOOD,425000000
#GIRL,417000000
#FRIENDS,413000000
#FUN,407000000
#INSTALIKE,405000000
